{ConfigFilename} {MeanCorrelation} {StandardDeviation} {Description} {group} {features} {scales} {angles} {gridsize} {patchsize} {cannysigma} {queryreader} {imagereader} {metric} {0.png} {1.png} {10.png} {11.png} {12.png} {13.png} {14.png} {2.png} {20.png} {21.png} {23.png} {24.png} {25.png} {26.png} {27.png} {28.png} {30.png} {33.png} {34.png} {38.png} {4.png} {42.png} {43.png} {45.png} {46.png} {47.png} {48.png} {6.png} {7.png} {8.png} {9.png}
{r\_g\_luma\_canny\_1\_5\_mean\_g8\_cos\_s4\_a12.2012-09-26T17:15:49.369924.json} {0.187587640166} {0.170881204229} {$\sigma = 1.5$, $N = (4, 12)$, $G=8$, COS} {CANNY+MEAN} {MEAN} {4} {12} {8} {} {1.5} {LUMA} {CANNY} {COS} {0.387640769749} {0.0244690186885} {0.215348564326} {0.26143214704} {0.189558317101} {0.286448829729} {0.147720248515} {0.12355304448} {0.265467444325} {0.185569475644} {0.407719149514} {-0.160841049464} {0.112187575427} {0.412863870643} {0.29086445888} {0.333983701559} {0.290517331834} {0.194213222639} {0.116741524978} {-0.0206455909637} {0.0386101665159} {-0.282584409058} {0.0964635211783} {0.0771210774486} {0.469078396768} {0.376293658946} {0.245166392694} {0.0516135906955} {0.460749895039} {0.0541244303963} {0.163768069876}
{r\_l\_luma\_canny\_1\_5\_pmean\_g8\_3\_hi\_1000\_itf\_s4\_a12.2012-09-25T11:53:09.327659.json} {0.220203568362} {0.168425877376} {$\sigma = 1.5$, $N = (4, 12)$, $G = (8, 3)$, HI} {CANNY+PMEAN} {PMEAN} {4} {12} {8} {3} {1.5} {LUMA} {CANNY} {HI} {0.32006761566} {-0.00257733884789} {0.483294340369} {0.415186544765} {0.125729125562} {0.560289678293} {0.128461993571} {0.2786126201} {0.169193460083} {0.165910618692} {0.38059276111} {-0.124332951727} {0.298119063217} {0.384240799344} {0.301695585518} {0.306594152686} {0.0649483104381} {0.0411741950684} {0.145140456935} {0.246900945644} {0.364254908059} {-0.171513005379} {0.268593489298} {0.109161399621} {0.178370555847} {0.282401328761} {0.122898726332} {0.0402291503823} {0.448188032527} {0.131512200427} {0.362971856879}
{r\_l\_luma\_canny\_1\_5\_pmean2\_g8\_3\_cos\_1000\_itf\_s4\_a12.2012-09-28T15:11:59.054471.json} {0.190418381806} {0.169301638911} {$\sigma = 1.5$, $N = (4, 12)$, $G = (8, 3)$, COS} {CANNY+PMEAN2} {PMEAN2} {4} {12} {8} {3} {1.5} {LUMA} {CANNY} {COS} {0.280628974754} {0.0773778311648} {0.422786161718} {0.347242923307} {0.207293648568} {0.4323109704} {0.231554825893} {0.255046173931} {0.106667026482} {0.0904952271363} {0.393066418095} {-0.160793941617} {0.312103597331} {0.323528928756} {0.291675145719} {0.317890753405} {-0.0125898873316} {0.0606241902996} {0.286172235698} {0.233963929973} {0.256092309173} {-0.189305358451} {0.371476337884} {0.176189818224} {-0.0808394354329} {0.0870860951352} {0.0180320915358} {-0.03921999302} {0.363275754073} {0.0896601283118} {0.353476954879}
{r\_g\_luma\_mean\_g12\_cos\_s4\_a12.2012-09-26T17:36:54.769566.json} {0.191010459445} {0.152000213839} {$N = (4, 12)$, $G=12$, COS} {LUMA+MEAN} {MEAN} {4} {12} {12} {} {} {LUMA} {LUMA} {COS} {0.385065083571} {0.0862854869541} {0.0477119573656} {0.351581163261} {0.143135872097} {0.273603590727} {0.191394061119} {0.0823686963199} {0.141754460562} {0.198456244786} {0.371706101607} {-0.108956839959} {0.233401737383} {0.263666957887} {0.29086445888} {0.362352973506} {0.342164857494} {0.304824726923} {0.0577293255387} {0.0} {0.236809021297} {-0.249035575106} {0.114470045132} {0.118252318755} {0.391757781916} {0.237116552212} {0.296780370103} {0.0490329111607} {0.422139568639} {0.141754460562} {0.143135872097}
{r\_g\_luma\_sobel\_mean\_g12\_cos\_s4\_a12.2012-09-26T18:12:57.759748.json} {0.200316890204} {0.144855610681} {$N = (4, 12)$, $G=12$, COS} {SOBEL+MEAN} {MEAN} {4} {12} {12} {} {} {LUMA} {SOBEL} {COS} {0.372186652682} {0.0682556837099} {0.166347094599} {0.343854104727} {0.153451970987} {0.242775017124} {0.209377395721} {0.0720726092799} {0.2087656601} {0.206188306272} {0.38971262556} {-0.0933915771081} {0.26177100933} {0.2919629241} {0.28829043712} {0.344299800449} {0.318923470947} {0.343410135395} {0.0962155425645} {0.0516139774093} {0.213642921388} {-0.212906061619} {0.106752963437} {0.133676534244} {0.35309747449} {0.268044798153} {0.252908489305} {0.00774203860432} {0.468471960319} {0.14433181439} {0.137977822652}
{r\_l\_luma\_sobel\_pmean\_g8\_3\_hibin\_1000\_itf\_s4\_a12.2012-09-28T14:52:43.103812.json} {0.186833698667} {0.174668901699} {$N = (4, 12)$, $G = (8, 3)$, HIB} {SOBEL+PMEAN} {PMEAN} {4} {12} {8} {3} {} {LUMA} {SOBEL} {HIB} {0.207991927493} {-0.00647249326515} {0.12543246251} {0.498803375818} {-0.0498061453641} {0.502385927389} {0.170636738678} {0.164766297575} {0.156972890746} {0.106040489335} {0.412726052698} {-0.0284703432478} {0.277846203751} {0.412345735869} {0.495787135666} {0.351570311078} {-0.0103494270504} {0.0194682100329} {0.221691255049} {0.0310881872273} {0.38747471875} {0.0236393970833} {0.161253282856} {0.112168833957} {0.258518851151} {0.107792571404} {-0.0104992663074} {-0.0224760391403} {0.322624338286} {-0.011695968159} {0.402589146816}
