{ConfigFilename} {MeanCorrelation} {Description} {scales} {angles} {gridsize} {patchsize} {cannysigma} {metric} {0.png} {1.png} {10.png} {11.png} {12.png} {13.png} {14.png} {2.png} {20.png} {21.png} {23.png} {24.png} {25.png} {26.png} {27.png} {28.png} {30.png} {33.png} {34.png} {38.png} {4.png} {42.png} {43.png} {45.png} {46.png} {47.png} {48.png} {6.png} {7.png} {8.png} {9.png}
{r\_l\_luma\_sobel\_pmean\_g8\_3\_emd\_1000\_itf\_s4\_a12.2012-09-28T14:54:31.293099.json} {0.0554217677232} {$N = (4, 12)$, $G = (8, 3)$, EMD} {4} {12} {8} {3} {} {EMD} {0.194464306419} {-0.0399231357549} {0.0425539079206} {0.284613322639} {-0.171505144044} {0.255620256126} {-0.110539937071} {0.0617765222399} {0.0567017842247} {0.0927847378222} {0.209647386027} {-0.277580520849} {0.130240748484} {0.253377515628} {0.23938402368} {0.243717836273} {-0.258403324579} {-0.212219746592} {0.0833868035559} {0.0851630627253} {0.12097852175} {-0.0374198532542} {-0.124759487391} {0.0694089697038} {0.396912489573} {-0.025773538284} {-0.149680534487} {-0.0645169883694} {0.22393989312} {-0.0154641229704} {0.161189045154}
{r\_l\_luma\_sobel\_pmean\_g8\_3\_hi\_1000\_itf\_s4\_a12.2012-09-25T11:32:30.767621.json} {0.186322113781} {$N = (4, 12)$, $G = (8, 3)$, HI} {4} {12} {8} {3} {} {HI} {0.215555741159} {0.0748389588814} {0.0904399558342} {0.466795915515} {-0.00258067953477} {0.534840783492} {0.0863999433331} {0.204176883676} {0.219356482178} {0.141836213989} {0.333982331475} {-0.046799641766} {0.304996819572} {0.409565220433} {0.48963894883} {0.345253405879} {-0.173800844158} {0.221947435018} {0.230340303487} {0.179704489989} {0.171030082278} {-0.0577085037948} {0.15622985825} {0.159793814433} {0.258834365543} {0.162373291189} {-0.108389352559} {-0.0303678593444} {0.290156414122} {0.0606846286052} {0.386860121214}
{r\_l\_luma\_sobel\_pmean\_g8\_3\_hibin\_1000\_itf\_s4\_a12.2012-09-28T14:52:43.103812.json} {0.186833698667} {$N = (4, 12)$, $G = (8, 3)$, HIB} {4} {12} {8} {3} {} {HIB} {0.207991927493} {-0.00647249326515} {0.12543246251} {0.498803375818} {-0.0498061453641} {0.502385927389} {0.170636738678} {0.164766297575} {0.156972890746} {0.106040489335} {0.412726052698} {-0.0284703432478} {0.277846203751} {0.412345735869} {0.495787135666} {0.351570311078} {-0.0103494270504} {0.0194682100329} {0.221691255049} {0.0310881872273} {0.38747471875} {0.0236393970833} {0.161253282856} {0.112168833957} {0.258518851151} {0.107792571404} {-0.0104992663074} {-0.0224760391403} {0.322624338286} {-0.011695968159} {0.402589146816}
